name,image
Albatross,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Australasian bittern/matuku-hūrepo,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Australasian crested grebe / kāmana / pūteketeke,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Banded rail/moho pererū,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Bellbird/korimako ,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Black billed gull/tarāpuka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Black petrel/tākoketai,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Karure / Kakaruia / Chatham Island black robin,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Black stilt/kakī,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Black-fronted tern/tarapirohe,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Blue duck/whio,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Brown teal/pāteke,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Chatham Island oystercatcher/tōrea,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Chatham Island pigeon/parea,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Chatham Island tāiko,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Chatham Island tūī  ,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Chatham petrel/ranguru,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Dabchick/weweia ,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Eastern bar-tailed godwit/kuaka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Fantail/pīwakawaka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Fernbird/mātātā,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Grey warbler/riroriro,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Hutton's shearwater/Kaikōura tītī ,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kākā,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kākāpō,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kea,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kingfisher/kōtare,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kiwi,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Kōkako,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Marsh crake/koitareke,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Miranda's migratory birds,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Morepork/ruru,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
New Zealand dotterel,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Tara iti/New Zealand fairy tern,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
New Zealand falcon/kārearea,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
New Zealand parakeet/kākāriki,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
New Zealand pigeon / kererū / kūkū / kūkupa,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
New Zealand robin/toutouwai,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Paradise duck / pūtakitaki / pūtangitangi,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Penguins,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Pūkeko,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Rock wren/tuke,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Saddleback/tīeke,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Shore plover/tūturuatu/Tchūriwat’,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Silvereye or wax-eye/tauhou,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Spotless crake/pūweto,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Spotted shag/parekareka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Hihi/stitchbird,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Subantarctic teal,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Takahē,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Tomtit/miromiro,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Tūī,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Variable oystercatcher/tōrea pango,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Weka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Westland petrel/tāiko,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Whenua Hou diving petrel/kuaka,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
White heron/kōtuku,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Whitehead/pōpokotea,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Wrybill/ngutu pare,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
Yellowhead/mohua,/thumbs/gallery/link/ac71ce1833f942dabe66615a7bda9af5.jpg
